French Polynesia,832,-520,-919,-93,-1676,-378,-378
Qatar,10070,8632,4893,106609,178133,-163999,-30801
Romania,58626,-29179,-75823,-129933,-49612,-12724,-12724
Russian Federation,74147,220025,544803,244437,384942,340711,320617
Rwanda,-4792,4017,443316,-23051,-14477,-1579,-6112
South Asia,-814813,-328417,-225905,-1920218,-3523806,-302152,-925916
Saudi Arabia,132741,163926,27095,481349,60337,-1025295,-153883
Sudan,105500,-207483,-71692,-10644,49080,86,-15223
Senegal,-7870,-18686,-31064,-41857,-31006,-10090,-10091
Singapore,1104,31389,67448,80422,40958,21324,19321
Solomon Islands,-406,397,-859,-2800,-1603,-808,-808
Sierra Leone,-13058,-7873,-112857,-1805,-356,1292,-1544
El Salvador,-26198,-29111,-89307,-91042,-51282,-25214,-27343
San Marino,218,164,275,381,317,-138,41
Somalia,-1934,62183,65888,-5955,-17178,-11383,-17071
Serbia,14294,1869,7879,351,7368,243,243
Sub-Saharan Africa (excluding high income),62199,-127212,-233547,-496048,34287,-148862,-444392
South Sudan,0,0,17077,132868,-160109,-74415,-31885
Sub-Saharan Africa,62292,-127813,-233595,-495797,34532,-148716,-444246
Small states,-218,-34417,-84794,83390,187142,-220115,-51404
Sao Tome and Principe,-396,-821,-1494,-1023,-1800,0,-792
Suriname,-11802,-3763,607,-1542,-976,-313,-492
Slovak Republic,-4945,-6829,-591,-219,2637,1746,1746
Slovenia,3680,1375,-763,8289,7934,7681,4568
Sweden,10588,14534,22161,39103,77987,81066,80097
Eswatini,-3224,1790,-2501,-8000,-10464,-4897,-4897
Sint Maarten (Dutch part),412,1237,-719,11,1027,475,212
Seychelles,93,-601,-48,251,245,146,146
Syrian Arab Republic,-21100,-12623,-13569,13431,-827474,270006,212187
Turks and Caicos Islands,62,177,382,794,1663,682,682
Chad,-22800,-30747,152235,19281,-48918,9016,9016
East Asia & Pacific (IDA & IBRD countries),-334894,-95562,-630069,-879764,-231779,-113166,-322002
Europe & Central Asia (IDA & IBRD countries),-43365,-60802,-553730,-251418,367540,80824,66551
Togo,-16973,1242,57406,-4438,-1985,-995,-995
Thailand,66197,147244,102011,70281,32595,35526,1133
Tajikistan,7235,-13015,-40411,-27949,-18984,-3564,-3564
Turkmenistan,2247,-6209,-462,-8252,-9612,-4502,-4503
Latin America & the Caribbean (IDA & IBRD countries),-478755,-894465,-774004,-1002451,-349643,-150854,-260604
Timor-Leste,9542,2122,-7916,-1481,-5529,-3506,-1997
Middle East & North Africa (IDA & IBRD countries),220543,-81265,-293861,161413,-217777,-55547,-128598
Tonga,-1026,-2553,-2109,-1812,-2495,-948,-948
South Asia (IDA & IBRD),-814813,-328417,-225905,-1920218,-3523806,-302152,-925916
Sub-Saharan Africa (IDA & IBRD countries),62292,-127813,-233595,-495797,34532,-148716,-444246
Trinidad and Tobago,-7768,-8051,-6723,-3595,-583,2370,2632
Tunisia,-8762,5148,-10177,-29303,-25230,-9189,-9189
Turkiye,-193902,8961,-81045,-23548,341261,-80952,-69729
Tuvalu,189,-41,-163,-10,-159,-15,-15
Tanzania,53248,75784,-109903,-128147,201562,-15795,-4865
Uganda,-47415,-42995,-242445,-151432,-62377,43465,43465
Ukraine,36779,-23788,-124586,-4936,-21937,-2173,831
Upper middle income,-516617,-621573,-1320309,-1107947,813531,596612,113665
Uruguay,-14348,-8838,-8333,-16092,-4156,-1486,-1486
United States,832170,759118,1678815,1129462,1221849,675560,561580
Uzbekistan,37609,-19965,-45888,-33395,-20380,-39203,-39201
St. Vincent and the Grenadines,-1812,-1785,-1640,-1757,-1295,-379,-379
"Venezuela, RB",195,243,-633,-18400,-77421,-525142,-525116
British Virgin Islands,-46,285,253,658,302,272,128
Virgin Islands (U.S.),1517,-1529,144,-429,-630,0,-224
Vietnam,-2117,-56107,43672,-144080,-4761,-2016,-992
Vanuatu,86,-883,-939,-448,-756,-197,-197
World,0,0,0,0,0,0,0
Samoa,-1654,-5010,-3004,-4040,-3137,-1060,-882
Kosovo,-3476,-4742,-775,-33861,-14819,-15050,-15050
"Yemen, Rep.",-23214,-14678,-55482,-51360,-38355,-86100,-101468
South Africa,38750,123316,-98300,31424,644996,30852,10934
Zambia,-30891,-21769,-45408,35351,16283,9015,9015
Zimbabwe,-29003,1785,-32961,-164732,-59918,-29955,-25005
